,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00103427,76,1,20,16,1,5,4,21,7,-,1,-,-,-,-
S00103428,93,2,38,15,3,3,15,5,7,-,5,-,1,-,3
S00103429,89,5,46,10,6,2,8,6,3,3,-,-,1,-,2
S00103430,87,5,55,11,4,1,4,4,2,-,1,1,-,-,2
S00103431,69,2,39,17,2,-,6,2,1,-,-,-,1,-,1
S00103432,93,7,26,12,-,12,4,31,-,1,-,-,-,-,-
S00103433,82,6,30,8,2,5,7,22,-,-,2,-,1,-,1
S00103434,77,4,36,13,1,5,7,7,1,1,2,-,1,-,1
S00103435,54,1,13,8,3,6,2,18,2,-,1,1,1,-,2
S00103436,99,6,47,15,5,4,10,5,3,4,-,-,-,-,1
S00103437,86,5,31,20,1,5,6,13,3,-,2,-,-,-,-
S00103438,66,-,37,8,2,5,3,8,1,1,1,-,-,-,1
S00103439,71,3,44,6,2,1,4,7,3,1,-,1,-,-,-
S00103440,82,2,35,13,3,4,8,16,-,-,1,-,-,2,1
S00103441,86,1,37,7,5,6,6,19,2,1,2,-,-,-,1
S00103442,55,4,22,6,-,6,5,9,1,1,1,-,-,-,-
S00103443,113,3,36,30,2,3,16,16,4,-,3,-,-,-,1
S00103444,59,3,33,8,4,1,4,3,-,1,2,-,-,-,2
S00103445,119,16,56,14,3,4,2,14,1,8,1,-,2,1,1
S00103446,87,2,41,7,1,10,3,23,-,-,-,-,-,-,-
S00103447,65,5,29,5,2,2,6,15,-,-,1,-,-,-,-
S00103448,167,8,50,30,5,2,10,58,2,1,1,-,-,-,3
S00103449,85,6,41,12,4,3,3,12,1,-,3,-,-,2,1
S00103450,82,2,38,8,3,8,10,10,2,1,-,1,-,-,1
S00103451,111,5,43,16,5,16,8,14,3,1,-,-,-,-,-
S00103452,70,5,37,12,-,5,2,5,2,-,2,-,-,-,-
S00103453,123,13,71,17,1,4,5,9,-,2,1,-,-,-,-
S00103454,136,9,46,13,10,4,7,43,-,1,3,1,1,-,3
S00103455,64,5,29,5,2,11,1,9,1,-,1,2,-,-,-
S00103456,129,8,37,13,2,29,2,35,1,1,1,2,-,-,1
S00103457,76,4,40,12,1,6,4,7,-,1,1,-,-,-,-
S00103458,50,5,15,3,2,-,19,3,-,2,1,1,-,-,1
S00103459,98,4,51,19,1,3,12,3,2,1,2,-,-,-,1
S00103460,99,7,44,11,5,8,6,13,2,-,3,1,1,-,2
S00103461,62,4,29,5,2,5,2,15,-,-,-,1,-,-,-
S00103462,69,5,21,15,-,3,11,1,5,3,5,-,-,-,-
S00103463,68,8,30,16,-,3,3,5,2,-,1,-,-,-,-
S00103464,103,8,49,18,3,5,4,9,2,1,4,-,-,-,1
