,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00105443,123,11,40,18,1,-,16,14,16,4,3,1,-,1,-
S00105444,116,15,44,23,2,6,14,5,5,-,2,-,1,-,1
S00105445,85,6,55,7,3,2,10,2,-,-,-,-,2,-,-
S00105446,54,3,29,12,2,2,2,1,2,-,1,1,-,1,-
S00105447,107,3,36,10,2,2,9,40,3,-,2,1,-,1,-
S00105448,90,7,49,19,1,5,5,4,-,-,-,-,-,-,-
S00105449,69,10,27,8,1,2,14,3,-,3,1,1,-,1,-
S00105450,72,7,45,7,2,2,6,1,-,1,1,-,-,-,-
S00105451,115,21,41,11,6,7,17,5,4,2,1,3,1,2,2
S00105452,103,12,49,5,4,10,11,5,5,2,-,2,1,2,1
S00105453,54,12,25,1,1,-,9,1,2,1,2,1,-,-,-
S00105454,109,10,57,5,5,6,12,7,4,1,2,1,1,-,3
S00105455,61,10,30,6,-,1,7,3,1,-,3,-,-,-,-
S00105456,55,4,24,3,3,3,8,6,3,1,-,2,-,1,-
S00105457,99,14,46,6,3,5,11,3,4,4,3,-,-,-,2
S00105458,76,8,37,4,4,7,8,3,1,3,1,2,-,-,-
S00105459,63,12,29,2,4,1,4,2,4,4,1,1,1,-,3
S00105460,99,19,44,5,5,-,10,4,9,2,1,-,2,-,2
S00105461,116,18,55,9,2,6,17,2,3,3,1,1,-,1,-
S00105462,69,14,32,4,3,1,9,-,2,4,-,1,-,1,-
S00105463,67,10,32,6,-,4,11,2,2,-,-,-,-,-,-
S00105464,105,14,48,9,3,3,20,2,2,-,4,-,-,-,3
S00105465,57,6,22,10,-,1,16,-,1,-,1,-,-,-,-
S00105466,70,14,32,4,-,4,12,-,4,-,-,-,-,-,-
S00105467,62,7,22,5,1,-,22,-,2,3,-,-,1,-,-
S00105468,85,18,30,5,1,2,21,4,1,2,1,-,-,-,-
S00105469,71,5,23,10,4,-,19,2,4,4,-,2,1,-,1
S00105470,120,18,42,13,2,3,27,7,6,2,-,-,1,-,-
S00105471,75,16,34,5,1,3,10,1,1,4,-,-,1,-,-
S00105472,84,16,41,1,2,5,13,-,3,-,3,-,-,-,2
S00105473,61,3,41,2,2,-,10,1,-,-,2,-,-,-,2
S00105474,74,5,38,5,1,-,21,3,-,-,1,-,-,-,-
S00105475,59,4,19,6,3,3,13,9,-,1,1,-,1,-,1
S00105476,82,14,36,5,3,3,13,4,1,2,1,1,1,1,-
S00105477,85,5,42,9,2,2,22,1,1,1,-,-,-,-,1
S00105478,84,11,37,7,1,3,14,6,3,-,2,1,-,1,-
S00105479,100,13,47,8,1,4,21,2,2,1,1,-,1,-,-
S00105480,103,9,58,7,1,2,16,4,3,3,-,-,1,-,1
S00105481,76,6,39,4,2,1,12,6,2,4,-,-,1,-,2
S00105482,60,9,29,5,2,-,6,1,3,2,3,-,-,-,-
S00105483,72,9,35,2,-,1,18,-,5,2,-,-,-,-,-
S00105484,94,10,46,7,3,-,12,3,7,4,2,-,1,-,2
S00105485,34,5,9,6,1,-,6,1,2,2,2,1,-,-,1
S00105486,49,9,25,2,1,-,8,3,-,-,1,-,1,-,1
S00105487,64,6,31,8,1,1,10,-,4,3,-,-,1,-,1
S00105488,81,16,24,7,1,3,19,7,-,3,1,-,-,-,1
S00105489,50,8,13,4,-,-,23,-,2,-,-,-,-,-,-
S00105490,125,16,54,10,5,7,11,10,9,3,-,-,1,-,3
S00105491,76,13,30,6,1,4,19,2,1,-,-,-,-,-,1
S00105492,93,13,38,10,3,-,21,6,1,-,1,-,1,-,2
S00105493,100,20,26,5,5,4,19,5,8,4,4,1,-,-,3
S00105494,56,9,21,2,2,6,8,2,5,1,-,-,-,-,1
S00105495,105,20,36,10,2,4,28,4,1,-,-,1,-,1,1
S00105496,127,20,52,13,3,2,27,3,4,1,2,2,1,-,1
S00105497,74,13,25,8,2,2,19,3,1,-,1,1,-,-,1
S00105498,141,23,65,7,3,5,27,6,3,2,-,2,-,-,2
S00105499,82,17,33,9,1,4,9,7,-,2,-,-,-,-,-
S00105500,85,14,37,9,1,3,15,2,2,-,2,-,-,-,-
S00105501,60,13,21,5,-,2,16,1,1,1,-,-,-,-,-
S00105502,51,10,23,1,3,3,8,3,-,-,-,2,1,-,1
S00105503,79,17,31,9,5,4,9,-,1,1,2,-,1,-,2
S00105504,81,10,27,2,4,2,20,5,1,8,2,3,1,2,-
S00105505,34,2,8,-,-,-,23,1,-,-,-,-,-,-,-
S00105506,104,19,45,10,4,4,8,4,8,1,1,-,-,1,1
S00105507,91,18,39,7,4,3,4,10,3,1,2,1,1,1,-
S00105508,105,7,59,4,3,9,6,7,3,7,-,2,1,1,1
S00105509,74,7,37,8,3,4,8,4,3,-,-,1,-,-,2
S00105510,123,15,52,11,4,10,17,10,4,-,-,1,-,1,3
S00105511,132,17,67,8,1,7,13,6,5,5,3,-,-,-,1
S00105512,112,20,45,6,7,5,10,10,7,-,2,2,1,1,-
S00105513,98,14,41,14,4,7,4,4,5,2,3,-,-,1,1
S00105514,65,8,29,8,1,3,11,-,4,-,1,-,-,-,-
S00105515,101,13,53,9,-,7,13,6,-,-,-,-,-,-,-
S00105516,74,14,29,4,1,2,23,1,-,-,-,-,1,-,-
S00105517,125,17,67,7,3,5,10,4,8,-,4,1,1,-,2
S00105518,87,18,32,7,5,3,11,6,3,-,2,3,1,-,2
S00105519,86,8,35,17,1,3,14,5,2,-,1,-,-,-,-
S00105520,89,9,45,6,-,1,15,5,3,4,1,-,-,-,-
S00105521,52,4,31,3,-,3,10,1,-,-,-,-,-,-,-
S00105522,98,9,52,4,2,3,19,2,3,2,2,1,-,-,-
S00105523,79,7,37,5,2,4,15,5,-,4,-,1,-,-,-
S00105524,52,6,25,4,-,1,11,1,-,3,1,-,-,-,-
S00105525,65,7,21,5,1,-,23,5,2,1,-,1,-,-,-
S00105526,56,4,29,5,2,2,11,2,-,1,-,1,1,1,1
S00105527,83,9,43,8,2,1,17,1,-,2,-,-,1,-,1
S00105528,84,15,31,8,1,1,24,2,-,2,-,-,1,-,-
S00105529,76,15,23,4,3,2,23,4,1,1,-,1,2,-,1
S00105530,136,20,44,22,8,2,25,7,5,-,3,-,2,-,1
S00105531,76,8,41,2,6,3,6,5,1,-,4,3,1,2,1
S00105532,70,14,33,4,-,1,14,3,1,-,-,-,-,-,-
S00105533,88,11,38,12,2,2,12,6,3,1,1,1,-,1,-
S00105534,97,15,37,8,1,4,26,2,2,2,-,-,-,-,-
S00105535,81,13,36,4,2,3,19,2,1,-,1,-,2,-,-
S00105536,69,9,35,6,-,2,12,2,-,3,-,-,-,-,-
S00105537,76,14,19,10,4,4,23,2,-,-,-,-,3,1,2
S00105538,76,13,31,5,-,5,17,4,-,-,1,-,-,-,-
S00105539,91,15,42,8,3,1,17,3,2,-,-,2,-,-,1
S00105540,108,17,34,7,4,10,29,5,1,1,-,2,1,1,1
S00105541,78,15,22,15,1,7,12,4,1,-,1,1,-,-,-
S00105542,82,21,30,7,-,3,13,-,4,4,-,-,-,-,-
S00105543,93,13,26,8,1,1,37,4,3,-,-,-,-,-,-
S00105544,68,8,22,12,1,2,18,2,3,-,-,1,-,-,-
S00105545,67,9,21,7,-,4,25,-,-,1,-,-,-,-,-
S00105546,84,12,32,8,1,4,17,2,3,1,4,-,-,-,1
S00105547,65,10,19,6,-,1,24,2,1,2,-,-,-,-,-
S00105548,120,18,51,7,5,4,20,5,5,3,2,1,-,-,1
S00105549,123,18,62,7,2,2,23,3,2,3,1,-,-,-,2
S00105550,77,10,35,7,2,3,14,1,1,1,3,-,-,-,2
S00105551,78,15,29,7,2,2,15,4,1,3,-,1,1,-,-
S00105552,79,10,37,6,1,1,18,3,-,-,3,1,-,-,-
S00105553,93,11,37,8,4,2,16,10,4,1,-,1,-,1,1
S00105554,130,22,56,11,8,8,13,2,4,4,2,2,3,1,2
S00105555,72,8,43,2,1,2,3,5,4,1,3,-,-,1,-
S00105556,100,18,54,4,6,3,8,3,4,-,-,3,-,-,2
S00105557,55,9,29,2,-,-,8,3,3,-,1,-,-,-,-
S00105558,146,16,73,13,-,4,17,10,5,7,1,-,-,-,-
S00105559,111,16,45,10,3,3,19,2,4,4,5,1,1,-,1
S00105560,87,11,39,5,-,3,15,1,6,6,1,-,-,-,-
S00105561,93,16,48,3,2,5,15,2,2,-,-,1,-,-,-
S00105562,78,14,37,4,2,3,14,3,-,1,-,-,1,-,-
S00105563,132,20,46,7,11,5,13,10,9,9,2,5,5,3,4
S00105564,94,10,28,5,7,3,14,2,2,23,-,-,2,-,4
S00105565,94,16,46,5,5,2,10,2,6,1,1,4,-,1,1
S00105566,99,16,50,5,3,-,16,2,4,1,2,1,-,-,2
S00105567,85,7,51,2,4,4,12,1,3,1,-,-,1,2,-
S00105568,57,5,26,2,6,2,4,2,6,4,-,3,1,1,2
S00105569,131,22,69,4,5,7,13,4,4,1,2,1,4,-,1
S00105570,40,6,15,2,-,1,2,2,2,6,4,-,-,-,-
S00105571,107,18,54,15,1,4,2,5,5,3,-,-,1,-,1
S00105572,69,7,13,1,4,-,15,2,3,23,1,1,1,2,1
S00105573,80,9,26,12,2,4,18,4,3,1,1,1,1,1,-
S00105574,58,5,22,4,3,-,17,-,-,5,2,1,-,-,-
S00105575,109,20,43,5,2,5,17,9,4,2,2,1,1,-,1
S00105576,83,16,43,4,2,4,10,2,-,1,1,-,1,-,-
S00105577,80,10,39,12,-,2,11,2,2,1,1,-,-,-,-
S00105578,59,10,16,10,1,-,14,5,3,-,-,1,-,1,-
S00105579,59,10,19,8,2,3,12,2,1,1,1,1,-,-,1
S00105580,72,8,28,5,2,1,21,1,4,2,-,-,-,-,2
S00105581,91,16,32,9,1,3,17,5,4,2,2,-,-,-,-
S00105582,71,15,23,5,2,2,22,1,1,-,-,-,-,-,1
S00105583,69,10,26,5,2,1,14,2,5,2,2,-,1,-,1
S00105584,83,13,35,10,1,1,14,3,4,1,1,-,-,1,-
S00105585,71,15,37,3,-,3,9,1,3,-,-,-,-,-,-
S00105586,75,15,35,1,-,-,17,-,3,4,-,-,-,-,-
S00105587,89,14,25,14,3,-,18,5,6,4,-,1,-,-,-
S00105588,82,10,59,4,1,3,3,-,-,1,1,-,-,-,-
S00105589,80,15,34,7,-,3,17,1,2,-,1,-,-,-,-
S00105590,82,10,32,7,4,1,16,6,1,-,5,1,1,1,1
S00105591,89,9,38,11,1,4,21,2,1,-,2,-,1,-,-
S00105592,86,14,42,11,3,2,11,2,1,-,-,1,-,2,-
S00105593,90,10,49,6,1,1,17,4,2,-,-,-,-,-,-
S00105594,101,14,38,10,1,3,22,7,3,-,3,1,-,-,-
S00105595,67,7,39,4,1,3,7,1,3,2,-,-,-,-,-
S00105596,79,12,34,7,-,3,21,-,1,1,-,-,-,-,-
S00105597,97,15,29,14,2,6,23,6,1,-,1,-,-,-,-
S00105598,86,11,32,12,-,4,15,7,3,2,-,-,-,-,-
S00105599,63,9,31,3,1,7,11,-,-,-,1,-,-,1,-
S00105600,50,7,20,1,-,2,17,1,2,-,-,-,-,-,-
S00105601,96,15,31,10,3,-,18,9,5,1,4,-,1,-,2
S00105602,95,19,51,5,-,3,13,1,3,-,-,-,-,-,-
S00105603,86,14,32,13,3,3,12,2,6,1,-,-,-,-,3
S00105604,98,16,48,4,-,3,24,1,2,-,-,-,-,-,-
S00105605,104,20,43,5,2,6,21,4,1,1,1,1,1,-,1
S00105606,104,24,50,5,2,4,10,4,3,1,1,1,1,-,1
S00105607,81,6,42,2,3,2,14,2,4,3,3,2,-,-,-
S00105608,61,8,39,4,1,3,3,2,-,1,-,-,-,-,-
S00105609,59,7,32,2,3,3,8,2,-,1,1,-,1,-,1
S00105610,66,4,16,7,1,2,33,3,-,-,-,-,-,-,1
S00105611,50,7,26,2,-,2,6,4,1,2,-,-,-,-,-
S00105612,103,18,64,6,2,1,6,1,5,-,-,-,1,-,1
S00105613,95,15,57,7,3,1,4,2,6,-,-,1,-,-,2
S00105614,41,4,26,2,-,1,5,1,2,-,-,-,-,-,-
S00105615,86,14,48,4,5,2,8,1,2,1,1,-,1,1,2
S00105616,69,9,36,6,2,7,1,1,3,3,1,-,-,-,-
S00105617,128,13,77,11,5,7,7,1,5,2,-,3,1,-,2
S00105618,116,14,56,12,8,3,7,7,6,1,2,1,2,-,2
S00105619,55,5,30,4,2,2,4,3,2,2,1,1,1,-,2
S00105620,71,8,39,2,2,2,7,6,5,-,-,-,-,1,-
S00105621,80,7,44,7,7,3,3,3,3,1,2,2,2,1,-
S00105622,83,9,50,5,1,1,5,4,5,3,-,1,-,1,-
S00105623,67,12,40,4,2,1,3,2,3,-,-,-,-,-,1
S00105624,100,14,58,4,2,5,2,3,9,2,1,1,-,-,1
S00105625,62,8,41,3,-,1,2,2,3,2,-,-,-,-,-
S00105626,66,6,37,5,6,2,5,1,1,2,1,2,-,1,1
S00105627,59,6,37,4,4,1,2,1,-,4,-,1,2,-,1
S00105628,110,14,68,3,9,3,2,2,2,2,5,1,-,1,1
S00105629,109,14,55,1,11,4,-,9,8,4,3,4,-,3,3
S00105630,86,10,33,8,2,1,23,5,-,3,1,-,-,-,1
S00105631,48,7,26,-,1,1,7,5,-,-,1,1,-,-,-
S00105632,46,2,20,6,2,4,7,1,2,2,-,-,-,-,2
S00105633,112,17,50,14,3,7,7,5,6,2,1,2,-,-,-
S00105634,101,16,51,7,2,7,12,3,1,1,1,-,1,1,1
S00105635,85,20,32,2,10,3,6,3,3,4,2,3,1,1,6
S00105636,71,11,36,2,3,1,12,1,1,4,-,1,-,-,1
S00105637,86,14,30,9,1,3,12,5,2,10,-,1,-,1,-
S00105638,69,4,26,11,2,7,11,3,1,2,2,1,-,-,-
S00105639,105,15,46,4,3,1,12,2,12,9,1,1,1,-,1
S00105640,88,12,49,3,2,2,-,3,17,-,-,1,-,-,-
S00105641,89,16,26,4,1,2,30,2,4,4,-,1,-,-,-
S00105642,91,15,38,5,10,3,11,4,-,3,2,4,2,-,5
S00105643,86,9,27,6,7,1,1,7,17,9,2,3,-,3,2
S00105644,55,12,23,2,4,1,4,1,4,4,-,2,-,1,1
S00105645,56,20,17,2,2,2,4,1,2,4,2,-,1,-,2
S00105646,76,11,31,3,2,4,11,3,4,6,1,-,1,-,1
S00105647,100,15,39,6,6,1,19,1,3,8,2,3,-,2,3
S00105648,83,12,35,3,6,-,13,2,1,6,5,1,1,-,4
S00105649,119,23,41,3,10,5,8,5,11,10,3,5,-,1,3
S00105650,103,20,33,9,10,2,20,3,-,5,1,2,1,2,3
S00105651,82,14,31,6,2,1,7,6,6,5,4,-,-,-,-
S00105652,69,10,25,3,3,5,8,4,5,3,3,-,1,-,1
S00105653,61,16,17,4,2,-,12,3,-,4,3,1,-,-,1
S00105654,71,16,21,5,4,3,8,4,5,5,-,-,2,-,2
S00105655,48,2,6,4,6,1,2,2,4,19,2,1,-,-,3
S00105656,46,10,8,-,2,1,2,4,8,10,1,1,-,1,-
S00105657,37,2,7,1,1,1,18,-,1,5,1,-,-,-,-
S00105658,107,9,53,-,5,7,3,10,3,16,1,1,-,-,2
S00105659,67,5,29,7,5,3,8,2,4,1,3,-,1,-,3
S00105660,50,5,19,4,7,1,10,1,1,2,-,4,2,2,-
S00105661,75,10,28,2,5,4,3,9,6,4,4,1,-,-,4
S00105662,50,10,17,5,5,4,2,1,-,4,2,2,-,2,1
S00105663,94,12,34,5,13,5,5,8,6,5,1,5,2,2,6
S00105664,53,9,20,2,4,4,6,2,4,1,1,1,-,1,2
S00105665,81,12,20,5,3,7,15,4,6,8,1,1,-,-,1
S00105666,52,11,24,3,1,-,4,2,6,1,-,-,-,-,-
S00105667,56,6,23,2,4,2,8,-,1,10,-,-,-,-,1
S00105668,60,4,24,3,4,1,6,4,2,8,4,-,2,-,1
S00105669,105,18,46,8,6,-,11,4,6,3,3,2,1,1,1
S00105670,69,15,29,7,6,2,1,3,3,3,-,4,-,-,1
S00105671,51,7,23,1,1,2,16,-,-,1,-,-,-,-,-
S00105672,91,18,30,2,6,8,14,2,6,3,2,1,1,1,3
S00105673,74,14,31,7,7,2,6,1,3,1,2,-,2,-,6
S00105674,82,14,32,7,1,1,13,2,8,2,2,-,-,-,1
S00105675,88,15,40,5,1,3,9,8,2,3,2,1,-,-,-
S00105676,80,14,44,4,2,1,9,3,1,1,1,1,-,1,-
S00105677,70,10,29,3,2,2,9,3,4,5,3,-,-,-,2
S00105678,84,12,40,8,4,4,12,3,-,-,1,1,1,-,3
S00105679,88,12,38,6,7,4,10,3,4,3,1,3,-,-,2
S00105680,75,16,34,3,1,2,10,6,2,-,1,-,-,-,-
S00105681,51,12,25,2,-,1,1,3,4,-,3,-,-,-,-
S00105682,104,14,52,5,6,3,8,6,5,2,3,4,1,-,-
S00105683,140,21,66,10,9,6,12,6,5,2,3,-,1,4,1
S00105684,77,13,34,6,1,1,11,3,2,6,-,-,-,-,1
S00105685,64,7,31,3,2,4,6,3,3,5,-,-,-,-,2
S00105686,46,7,17,2,4,1,10,2,1,2,-,1,1,1,2
S00105687,82,14,37,3,4,6,8,5,3,1,1,1,2,-,2
S00105688,67,6,24,4,3,-,25,-,-,5,-,1,-,-,2
S00105689,65,9,26,5,-,2,9,-,4,6,4,-,-,-,-
S00105690,83,11,35,14,-,1,17,2,2,1,-,-,-,-,-
S00105691,78,13,34,6,2,1,14,3,3,-,2,1,-,-,1
S00105692,91,14,33,12,1,2,22,4,2,1,-,-,1,-,1
S00105693,98,13,29,10,2,6,25,6,5,-,2,-,-,-,1
S00105694,142,23,65,17,4,1,21,7,3,1,-,2,-,-,1
S00105695,61,13,26,5,1,1,12,2,1,-,-,1,-,-,1
S00105696,48,3,29,7,1,2,4,-,-,-,2,-,-,-,-
S00105697,111,10,67,12,2,-,9,3,5,2,1,1,-,1,-
S00105698,92,8,21,14,1,5,33,4,5,-,1,-,-,-,1
S00105699,78,4,30,13,1,1,21,5,2,-,1,-,1,-,-
S00105700,72,7,23,13,-,1,15,5,2,1,5,-,-,-,-
S00105701,80,13,25,5,4,1,20,5,2,4,1,1,-,-,-
S00105702,53,7,28,4,1,3,8,-,2,-,-,1,-,1,-
S00105703,98,19,46,6,6,5,11,-,5,-,-,2,2,-,1
S00105704,64,7,31,5,2,1,15,1,-,2,-,-,1,-,-
S00105705,77,19,28,5,-,1,18,2,1,1,2,-,-,-,-
S00105706,62,4,26,13,1,-,9,2,2,5,-,1,-,-,1
S00105707,80,11,35,12,4,2,10,2,2,-,2,1,-,-,2
S00105708,81,8,25,12,1,2,23,5,4,1,-,-,1,-,-
S00105709,294,18,60,11,-,9,29,157,8,-,2,-,-,-,-
S00105710,69,14,22,6,-,1,22,1,3,-,-,-,-,-,-
S00105711,111,18,46,11,8,2,11,4,7,3,1,3,1,1,3
S00105712,47,4,9,2,-,1,30,-,-,1,-,-,-,-,-
S00105713,115,16,40,12,3,2,24,7,4,7,-,-,1,-,1
S00105714,76,12,34,5,2,5,5,3,7,1,2,-,1,-,1
S00105715,88,13,32,17,2,1,12,9,2,-,-,-,1,-,-
S00105716,75,14,27,13,1,-,12,3,4,1,-,-,1,-,-
S00105717,72,11,32,6,-,1,17,2,2,1,-,-,-,-,-
S00105718,89,14,34,13,1,-,20,2,3,2,-,-,-,-,-
S00105719,108,10,50,14,2,2,18,2,5,4,1,-,-,-,-
S00105720,97,11,32,13,-,2,26,7,5,1,-,-,-,-,-
S00105721,106,17,40,7,3,3,22,4,8,1,1,2,1,-,-
S00105722,79,11,28,12,-,2,20,4,2,-,-,-,-,-,-
S00105723,100,12,37,15,1,1,26,3,2,2,1,-,-,-,1
S00105724,68,12,28,5,-,2,6,8,3,3,1,-,-,-,-
S00105725,88,10,42,4,4,4,14,5,3,1,1,-,1,-,3
S00105726,74,5,37,8,1,1,9,7,5,1,-,-,-,-,1
S00105727,63,9,23,9,2,1,15,2,1,-,1,1,-,-,1
S00105728,104,20,39,8,1,3,22,6,4,-,1,-,-,-,-
S00105729,50,7,27,7,1,-,4,1,-,2,1,-,1,-,1
S00105730,62,10,24,3,2,2,13,2,5,-,1,-,1,-,1
S00105731,76,11,28,9,2,-,14,4,7,1,-,-,-,-,1
S00105732,83,6,38,7,-,3,20,3,3,3,-,-,-,-,-
S00105733,100,14,28,16,4,-,19,7,10,-,2,3,-,1,-
S00105734,69,5,32,11,3,-,8,5,2,1,2,1,-,-,2
S00105735,83,15,23,9,1,2,23,2,3,3,2,-,-,-,-
S00105736,61,9,16,5,-,3,21,5,2,-,-,-,-,-,-
S00105737,81,11,29,10,4,3,16,4,2,1,1,2,1,-,3
S00105738,83,12,34,10,-,-,14,9,2,1,1,-,-,-,-
S00105739,75,13,33,5,1,6,7,4,4,-,2,-,1,-,-
S00105740,85,12,24,13,-,2,24,3,4,2,1,-,-,-,-
S00105741,100,19,25,11,2,3,24,9,6,1,-,1,1,-,-
S00105742,84,16,34,8,-,5,14,6,-,-,1,-,-,-,-
S00105743,67,8,18,11,1,4,18,1,5,-,1,-,1,-,1
S00105744,124,14,49,21,4,2,24,7,1,1,1,1,3,-,-
S00105745,101,16,39,15,4,3,17,4,2,-,1,-,1,-,2
S00105746,86,11,25,14,-,2,21,5,7,-,1,-,-,-,-
S00105747,89,9,24,16,1,2,20,6,10,-,1,1,-,-,-
S00105748,107,16,44,7,2,3,18,11,6,-,-,1,1,1,-
S00105749,120,15,56,10,2,3,13,14,3,2,2,1,1,-,1
S00105750,87,13,43,14,-,1,6,6,3,-,1,-,-,-,-
S00105751,78,6,30,4,-,-,30,2,2,2,2,-,-,-,-
S00105752,71,9,24,16,2,-,13,4,2,-,1,-,1,-,1
S00105753,75,8,34,6,-,6,16,4,1,-,-,-,-,-,-
S00105754,61,9,28,1,2,-,17,1,1,2,-,-,1,-,-
S00105755,117,16,46,17,3,5,17,8,4,1,-,1,-,-,1
S00105756,87,11,28,5,6,5,25,4,3,-,-,2,1,1,2
S00105757,69,11,33,10,-,2,7,4,1,1,-,-,-,-,-
S00105758,92,10,39,8,2,5,22,1,2,2,1,-,-,-,-
S00105759,67,10,29,9,-,2,9,6,1,1,-,-,-,-,-
S00105760,94,21,33,8,5,3,16,5,-,1,2,1,-,1,2
S00105761,133,10,52,11,3,16,4,30,3,1,3,3,-,-,-
S00105762,71,10,28,7,1,1,22,1,1,-,-,-,1,-,1
S00105763,84,12,37,8,-,-,19,3,4,1,-,-,-,-,-
S00105764,96,10,45,11,3,5,16,3,1,2,-,1,-,-,-
S00105765,30,2,5,1,-,-,11,4,1,4,2,-,-,-,-
S00105766,69,8,32,5,1,2,11,4,2,3,1,-,-,-,1
S00105767,72,7,30,5,4,3,15,5,-,1,2,1,1,1,-
S00105768,63,8,25,1,3,4,13,4,3,1,1,-,-,1,2
S00105769,96,9,45,7,3,2,17,7,-,5,1,-,2,-,2
S00105770,86,13,46,6,2,2,9,4,1,2,1,-,1,-,1
S00105771,92,9,53,9,2,4,3,10,1,1,-,-,-,-,-
S00105772,89,5,59,8,5,2,-,6,1,3,-,-,-,-,3
S00105773,125,8,79,3,2,7,6,17,2,1,-,1,-,-,-
S00105774,73,5,31,5,2,1,24,-,1,2,2,-,1,-,-
S00105775,110,13,31,3,2,7,18,22,3,7,4,-,-,-,-
S00105776,92,13,35,3,4,-,20,2,1,11,3,1,2,-,2
S00105777,60,6,24,5,2,3,10,3,1,4,2,-,-,-,2
S00105778,93,4,48,8,2,11,7,9,1,2,1,-,1,-,1
S00105779,104,10,51,7,-,7,15,6,3,4,1,-,-,-,-
S00105780,63,2,31,6,2,3,4,14,1,-,-,-,1,-,2
S00105781,77,7,34,6,2,5,13,6,2,-,2,-,-,-,2
S00105782,71,9,35,6,3,-,6,4,1,5,2,-,-,1,-
S00105783,78,8,36,2,5,2,6,4,6,5,4,1,-,-,1
S00105784,63,5,34,3,2,4,6,1,4,4,-,-,1,-,1
S00105785,81,6,45,5,-,1,15,6,-,1,2,-,-,-,-
S00105786,99,9,62,11,-,5,1,9,1,-,1,-,-,-,-
S00105787,43,7,27,-,1,1,4,2,-,1,-,-,-,-,-
S00105788,91,16,36,6,4,4,15,5,2,2,1,1,-,-,-
S00105789,70,8,37,3,3,3,9,-,3,1,3,-,2,-,2
S00105790,132,20,52,9,5,3,31,8,4,-,-,4,-,3,1
S00105791,107,12,41,9,5,2,14,10,-,10,4,1,2,-,2
S00105792,89,9,37,3,4,9,16,4,4,3,-,1,1,1,2
S00105793,80,8,49,3,5,7,1,1,-,-,6,-,4,-,3
S00105794,55,4,43,1,-,3,2,1,-,1,-,-,-,-,-
S00105795,54,2,38,4,3,5,-,1,-,-,1,-,1,-,-
S00105796,115,12,63,7,7,6,11,9,-,-,-,1,2,-,2
S00105797,86,8,44,5,5,8,6,4,1,4,1,2,-,2,-
S00105798,116,6,63,1,5,16,6,17,-,-,2,1,1,-,2
S00105799,74,9,23,5,5,1,10,5,2,6,8,2,-,2,1
S00105800,49,8,15,1,12,2,4,3,1,3,-,4,1,2,7
S00105801,86,10,25,2,7,11,8,19,1,1,2,1,1,1,3
S00105802,114,21,43,4,11,3,7,4,9,9,3,8,-,3,2
S00105803,72,11,23,3,6,1,4,6,8,7,3,2,1,2,2
S00105804,124,29,33,1,9,4,2,14,10,20,2,4,-,4,-
S00105805,45,7,9,3,5,1,7,3,2,7,1,1,-,-,2
S00105806,82,9,34,3,4,1,6,5,6,10,4,3,-,2,-
S00105807,85,13,21,2,15,4,7,8,5,9,1,3,4,1,5
S00105808,115,15,44,3,10,8,10,6,6,10,3,2,1,2,3
S00105809,94,11,22,3,26,-,8,2,4,17,1,20,1,10,6
S00105810,105,26,23,4,14,2,6,3,11,10,6,3,2,4,4
S00105811,71,11,20,-,9,2,6,4,10,6,3,5,-,4,2
S00105812,57,7,19,3,7,1,8,-,3,9,-,1,1,1,4
S00105813,77,11,22,1,12,4,5,5,6,7,4,5,2,1,5
S00105814,85,13,24,1,10,6,1,5,17,3,5,2,1,2,3
S00105815,66,4,17,3,15,4,2,6,6,8,1,5,4,-,6
S00105816,61,7,13,1,7,1,11,1,8,11,1,4,2,2,3
S00105817,87,13,28,2,10,1,9,7,2,8,7,3,-,1,3
S00105818,49,8,19,1,4,-,2,6,4,3,2,1,-,-,2
S00105819,98,11,34,4,6,-,8,7,9,12,7,2,1,1,3
S00105820,111,16,35,4,11,9,9,3,11,9,4,8,1,2,5
S00105821,83,12,28,2,14,2,6,5,4,8,2,3,3,5,7
S00105822,90,14,30,3,12,-,8,5,5,10,3,5,-,4,5
S00105823,87,12,26,5,10,4,8,2,5,10,5,4,-,1,4
S00105824,80,12,27,1,8,4,4,3,12,4,5,2,2,3,-
S00105825,88,5,33,4,7,6,9,7,9,4,4,1,-,1,1
S00105826,85,9,28,1,12,2,7,3,8,11,4,3,1,2,6
S00105827,62,7,19,3,4,2,1,5,8,11,2,2,-,1,1
S00105828,63,12,15,1,4,4,3,6,6,10,2,2,-,2,1
S00105829,66,12,25,1,9,-,5,4,1,8,1,1,1,-,2
S00105830,92,13,35,2,6,2,19,7,1,3,4,1,1,-,4
S00105831,84,10,30,10,10,6,6,2,7,2,1,3,2,2,2
S00105832,166,29,63,10,3,7,34,6,5,7,2,2,-,-,1
S00105833,127,22,57,11,4,3,16,5,6,-,3,2,2,-,-
S00105834,115,25,46,5,4,7,16,5,2,4,1,2,-,1,1
S00105835,93,11,41,5,2,2,14,3,7,6,2,1,1,1,-
