OA_CODE,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00103590,128,9,4,1,10,-,6,5,11,7,19,31,3,10,10,2,-,38.8,41
S00103591,91,2,3,-,10,-,3,3,6,5,19,23,3,6,5,3,-,40.2,41
S00103592,108,9,7,3,8,2,3,3,5,6,20,15,6,8,8,1,4,38.6,39
S00103593,100,10,3,2,12,2,5,2,1,6,25,22,4,5,1,-,-,32.6,35
S00103594,118,19,8,2,2,2,2,5,10,19,19,20,2,6,2,-,-,29.4,27
S00103595,120,6,3,3,6,2,3,2,9,6,23,32,2,6,13,3,1,42.5,43
S00103596,114,3,3,2,11,2,2,4,7,3,20,26,6,16,6,-,3,43.2,45
S00103597,116,6,2,1,8,1,3,2,5,2,22,30,4,18,8,3,1,45.4,48
S00103598,100,4,4,1,5,3,4,2,5,4,12,31,11,6,5,2,1,43.2,49
S00103599,82,3,2,-,3,3,2,1,7,3,12,18,6,11,9,1,1,46.6,50
S00103600,115,3,2,4,7,1,3,4,5,8,23,30,7,7,8,1,2,42.3,43
S00103601,99,9,2,6,5,1,2,-,3,9,18,10,13,10,8,3,-,41.2,41
S00103602,104,5,2,3,6,-,1,2,3,9,22,10,8,15,13,2,3,46.1,44
S00103603,103,4,2,4,6,2,1,1,4,2,29,12,7,12,13,2,2,45.5,43
S00103604,67,2,1,-,3,-,-,1,4,2,11,9,7,9,14,2,2,54,61
S00103605,91,1,1,-,6,-,4,2,3,6,18,18,9,17,2,3,1,47.8,47
S00103606,92,6,-,1,7,1,1,3,4,3,25,22,2,8,8,1,-,42.2,41
S00103607,103,4,3,3,4,4,1,3,2,4,27,24,8,5,7,4,-,42.6,43
