OA_CODE,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00105411,113,5,1,2,3,-,2,4,21,5,31,22,8,5,3,1,-,37.3,35
S00105412,126,6,1,-,-,1,-,9,44,6,27,19,7,3,2,1,-,32.8,26
S00105413,170,7,-,4,-,-,-,10,64,27,24,16,3,9,5,1,-,31.7,25
S00105414,153,6,2,3,14,1,3,2,1,13,27,27,5,15,13,9,12,48.2,47
S00105415,109,10,3,1,3,1,3,1,6,11,25,22,5,10,8,-,-,39.4,37
S00105416,108,16,2,2,4,-,-,3,2,5,26,31,8,6,2,1,-,38.1,40
S00105417,133,8,6,3,9,2,4,-,7,1,17,41,6,12,14,3,-,43.5,47
S00105418,123,4,2,2,17,2,5,1,8,3,14,34,5,11,13,2,-,41.8,46
S00105419,106,6,4,2,14,1,4,-,3,2,16,22,8,13,7,4,-,42.2,45
S00105420,192,18,9,6,11,2,7,2,7,3,46,42,12,13,12,2,-,38.2,40
S00105421,169,11,8,3,10,2,7,3,3,1,35,44,13,11,14,3,1,42.7,45
S00105422,159,15,2,2,4,1,4,2,5,11,31,49,8,17,6,1,1,41.8,46
S00105423,175,5,2,4,14,3,5,5,6,2,23,68,14,14,9,-,1,43.8,48
S00105424,171,10,6,3,8,4,6,2,7,4,29,47,9,22,13,1,-,42.9,47
S00105425,149,10,9,2,6,1,4,5,9,2,18,46,10,13,10,2,2,42.5,48
S00105426,87,7,2,1,4,1,3,1,1,2,20,19,4,10,9,2,1,44.9,45
S00105427,149,12,6,2,6,1,4,1,-,3,32,34,8,17,18,5,-,45.6,46
S00105428,234,8,-,1,3,-,-,1,6,9,35,44,19,28,45,18,17,59.6,62
S00105429,106,-,2,2,5,1,2,1,3,4,14,26,6,19,15,5,1,52.8,54
S00105430,128,9,1,-,7,3,1,1,7,17,29,28,7,16,2,-,-,39.2,43
S00105431,114,1,-,1,3,-,2,-,3,3,19,16,3,8,20,16,19,63.6,73
S00105432,116,6,4,3,6,2,3,1,4,2,23,26,10,19,5,1,1,44,48
S00105433,156,6,9,7,16,2,5,1,4,4,19,57,5,11,8,2,-,39.6,45
S00105434,90,1,2,2,6,4,4,1,4,2,5,32,5,7,12,3,-,47.5,50
S00105435,178,10,5,8,14,5,5,6,1,2,32,56,20,11,3,-,-,39.7,45
S00105436,225,4,7,6,13,3,5,6,13,2,23,45,18,34,24,11,11,50.9,54
S00105437,89,2,-,2,3,-,1,-,4,1,11,13,5,17,25,3,2,58.6,65
S00105438,132,9,11,4,10,4,6,1,4,1,24,38,3,8,6,2,1,37.1,42
S00105439,91,3,-,2,8,2,2,-,3,2,11,21,12,9,11,5,-,49.5,54
S00105440,76,5,3,2,5,2,4,1,-,2,12,23,2,10,2,2,1,41.6,46
S00105441,214,3,5,5,11,1,2,3,10,5,19,31,8,16,32,22,41,60.7,68
S00105442,117,1,2,2,9,4,3,1,3,2,11,31,12,15,15,5,1,50.5,54
S00105443,181,23,11,4,10,1,10,3,5,1,32,50,12,10,5,3,1,36.2,39
S00105444,165,13,8,5,12,2,6,1,4,3,35,45,15,7,4,3,2,39,43
S00105445,97,-,1,1,5,-,1,-,5,10,24,28,11,6,3,2,-,44.1,45
S00105446,72,2,-,1,8,-,4,1,-,1,29,15,2,2,6,1,-,39.5,41
S00105447,157,9,2,2,22,7,27,14,4,2,22,25,5,8,6,1,1,31.2,18
S00105448,99,3,1,-,-,-,-,1,11,20,25,24,6,3,2,2,1,39.8,37
S00105449,89,6,-,3,2,2,2,1,5,4,15,28,4,10,5,1,1,44.4,48
S00105450,87,12,-,-,-,-,-,1,-,15,33,11,9,3,3,-,-,37,34
S00105451,147,12,2,4,11,-,5,2,10,16,29,29,9,15,2,1,-,36.7,37
S00105452,128,8,2,3,6,3,4,6,16,10,27,25,7,8,2,1,-,34.6,35
S00105453,71,9,1,-,3,-,-,-,6,10,9,14,9,6,4,-,-,39.7,37
S00105454,143,10,8,-,9,1,5,-,11,21,30,27,8,7,5,1,-,35.3,32
S00105455,87,6,3,4,5,1,1,2,7,3,23,14,5,6,6,1,-,37.9,36
S00105456,81,6,9,3,3,-,3,3,4,5,20,11,3,6,3,1,1,34.2,32
S00105457,132,10,3,4,8,3,2,3,8,18,25,24,8,11,5,-,-,36,32
S00105458,101,1,5,1,8,5,6,3,7,7,19,22,5,7,3,1,1,37.5,38
S00105459,85,9,3,1,3,2,3,2,3,8,23,19,1,4,3,1,-,34.9,33
S00105460,146,18,3,7,13,1,1,2,9,12,37,25,5,8,3,1,1,32.2,32
S00105461,157,12,3,1,9,1,2,4,12,16,24,32,10,16,11,2,2,41,41
S00105462,115,12,6,4,10,-,-,2,4,5,22,26,4,6,13,1,-,39.1,41
S00105463,86,3,2,3,1,1,3,1,9,2,13,26,6,7,5,2,2,44.9,47
S00105464,151,8,5,-,9,1,1,1,6,5,29,36,9,18,18,5,-,47.3,49
S00105465,92,6,1,2,5,-,1,-,1,1,17,16,8,13,14,2,5,51.8,53
S00105466,107,14,1,3,5,-,1,1,3,6,21,21,6,11,11,2,1,42.5,42
S00105467,96,1,2,-,5,1,-,-,2,2,11,19,12,16,19,4,2,56.8,63
S00105468,117,3,2,3,3,1,5,4,2,2,22,23,14,13,16,3,1,49.2,53
S00105469,100,4,1,2,6,-,2,1,4,2,16,24,10,12,10,5,1,49.1,51
S00105470,164,5,4,3,9,2,5,-,8,5,22,48,11,21,15,5,1,47.2,50
S00105471,105,-,2,2,8,-,3,-,2,6,12,38,6,8,12,5,1,50,53
S00105472,111,5,3,3,1,4,5,2,8,12,9,31,10,7,9,2,-,42.3,48
S00105473,92,2,-,2,2,-,-,1,2,13,20,13,5,7,14,8,3,51.4,47
S00105474,94,4,-,1,2,-,1,-,3,1,24,14,15,16,13,-,-,51.3,57
S00105475,82,2,2,1,1,-,2,4,9,7,16,5,3,13,7,7,3,47.8,38
S00105476,117,8,7,3,9,1,2,3,1,4,28,22,13,9,5,-,2,39.5,41
S00105477,108,1,3,3,4,1,2,1,-,9,18,28,14,13,8,2,1,48.3,52
S00105478,113,14,5,3,3,1,5,1,4,-,30,27,6,11,3,-,-,37.1,39
S00105479,137,12,8,3,4,-,3,4,5,3,28,32,8,17,9,1,-,41.8,44
S00105480,122,9,-,-,2,-,2,1,13,18,30,14,13,12,8,-,-,41.1,39
S00105481,105,4,5,2,1,1,4,1,2,3,23,23,8,12,13,1,2,47.8,48
S00105482,118,4,5,1,8,3,1,-,3,5,24,16,4,7,14,14,9,51.1,50
S00105483,108,18,5,2,4,1,1,2,-,5,27,18,8,11,6,-,-,37.2,38
S00105484,133,8,5,1,2,1,2,3,5,14,31,21,7,11,21,1,-,44.1,43
S00105485,66,4,4,4,1,-,-,-,1,1,17,6,4,5,13,4,2,49.8,47
S00105486,70,2,-,5,3,1,1,1,3,8,19,6,2,9,10,-,-,42.7,38
S00105487,84,4,2,3,5,2,-,-,7,5,26,13,6,7,4,-,-,38.1,36
S00105488,95,2,-,1,2,-,2,3,11,2,9,30,12,12,8,-,1,49,54
S00105489,73,6,2,1,-,-,-,-,1,1,11,12,4,21,13,1,-,54.4,61
S00105490,192,17,11,3,15,7,2,5,12,23,48,22,5,8,12,1,1,32.8,30
S00105491,108,2,3,4,4,1,5,3,4,4,15,22,6,17,12,5,1,47.7,51
S00105492,133,1,5,-,8,1,-,2,7,7,16,30,13,18,21,3,1,51.2,57
S00105493,149,7,6,6,13,3,6,6,5,7,29,22,10,15,7,5,2,39.6,40
S00105494,81,4,2,-,4,2,1,6,6,2,15,15,-,11,11,-,2,43.6,42
S00105495,150,6,5,1,7,4,7,2,7,1,17,43,11,17,18,3,1,46.9,51
S00105496,158,9,6,3,5,-,5,4,12,5,26,41,11,23,7,1,-,42.7,46
S00105497,104,5,2,1,5,-,3,1,10,4,7,28,12,9,13,3,1,47.5,51
S00105498,184,7,6,3,11,2,5,7,10,8,23,56,10,22,12,2,-,43.4,49
S00105499,122,2,5,3,3,1,6,4,4,4,12,34,11,7,15,5,6,49.5,51
S00105500,132,11,4,4,7,3,2,2,2,5,30,22,9,13,15,3,-,42.6,42
S00105501,89,3,2,1,5,2,3,3,3,1,14,17,5,14,16,-,-,48.1,50
S00105502,67,1,1,2,4,2,1,4,7,1,11,15,5,7,5,1,-,42.6,44
S00105503,119,8,3,2,7,4,2,2,2,3,19,38,8,5,15,-,1,43.6,48
S00105504,139,3,7,1,4,2,3,3,4,6,12,28,6,19,25,12,4,53.8,54
S00105505,72,-,-,-,-,-,-,-,2,1,5,3,3,20,19,16,3,71.8,75
S00105506,149,10,9,4,8,4,3,5,12,17,30,22,11,4,7,1,2,34.7,31
S00105507,118,12,3,3,3,4,5,5,7,11,33,25,2,3,1,-,1,32,31
S00105508,138,8,5,5,10,1,7,4,14,11,34,29,1,5,4,-,-,31.9,32
S00105509,104,6,6,2,9,2,4,1,9,10,23,19,2,6,5,-,-,33.6,33
S00105510,166,13,3,5,14,2,6,3,16,26,27,25,9,11,5,-,1,33.6,28
S00105511,184,14,4,6,20,4,3,6,10,10,52,29,9,13,2,1,1,34.2,34
S00105512,145,13,8,1,8,2,4,5,11,14,41,26,4,7,1,-,-,31.9,32
S00105513,139,9,6,6,13,4,4,5,13,11,31,30,2,2,3,-,-,30.2,29
S00105514,88,5,4,1,4,2,1,1,2,11,14,21,7,8,4,1,2,42.8,44
S00105515,131,6,4,2,8,4,7,4,9,8,34,27,4,8,4,1,1,36.1,35
S00105516,91,2,2,2,2,-,-,2,6,6,8,27,8,17,8,1,-,49.4,53
S00105517,162,17,5,4,5,2,-,8,22,17,44,24,3,7,3,-,1,31.3,30
S00105518,125,6,9,1,9,2,3,4,10,8,19,27,9,7,5,3,3,39.2,42
S00105519,106,4,1,2,1,2,3,1,9,5,14,34,12,8,7,1,2,46,50
S00105520,120,3,4,2,9,2,2,1,8,6,32,26,6,8,10,1,-,41.7,42
S00105521,58,2,1,1,2,-,1,-,4,9,17,12,6,3,-,-,-,37.4,34
S00105522,133,10,4,2,5,1,1,3,4,16,23,30,10,11,9,3,1,41.9,43
S00105523,111,4,1,1,5,1,3,2,8,7,17,25,7,10,18,2,-,47.2,50
S00105524,63,-,1,-,2,-,-,1,4,2,8,23,5,9,4,4,-,51.9,52
S00105525,93,4,6,3,5,2,1,1,3,-,15,20,9,16,6,2,-,45.1,48
S00105526,72,2,2,2,3,-,3,1,2,1,17,19,1,12,5,2,-,45.4,46
S00105527,100,3,1,1,3,-,-,-,8,8,19,30,6,12,8,1,-,46.1,48
S00105528,113,3,3,3,3,-,2,-,4,2,12,24,24,16,12,5,-,52.4,60
S00105529,103,4,1,2,2,-,3,1,2,3,9,26,17,15,12,4,2,53.6,58
S00105530,181,9,8,3,10,6,6,2,10,10,38,45,4,21,9,-,-,38.9,40
S00105531,96,5,4,1,2,2,4,2,17,11,19,13,5,5,6,-,-,35.4,30
S00105532,93,2,2,2,7,-,-,4,7,7,20,14,3,15,5,5,-,43.9,42
S00105533,125,9,10,4,3,-,4,3,3,1,28,32,10,7,10,-,1,40.1,42
S00105534,130,9,4,-,2,2,-,2,5,4,18,30,12,26,12,4,-,49.8,55
S00105535,117,4,6,2,6,-,4,1,2,1,21,26,6,20,15,3,-,47.9,49
S00105536,99,3,1,3,9,1,2,2,2,3,21,25,6,8,12,-,1,44.7,46
S00105537,104,2,1,1,6,-,1,-,6,7,7,25,11,19,9,6,3,52.3,57
S00105538,114,5,3,1,4,3,4,2,4,2,14,30,9,11,19,3,-,48.4,51
S00105539,116,9,5,3,3,1,2,4,10,4,27,24,5,15,4,-,-,39,42
S00105540,164,4,1,1,15,5,4,3,11,5,19,35,7,24,24,6,-,47.7,49
S00105541,131,3,5,3,14,-,5,1,10,4,15,29,4,10,22,4,2,45.5,46
S00105542,116,6,4,3,5,2,-,2,5,2,27,27,11,8,11,3,-,44.8,47
S00105543,118,7,-,2,3,2,5,-,2,1,16,27,16,26,10,1,-,50.8,56
S00105544,103,3,1,1,7,2,1,3,5,1,10,30,2,16,19,1,1,50.8,54
S00105545,85,-,1,-,3,1,2,1,3,-,3,30,12,16,9,1,3,56.6,59
S00105546,114,2,3,1,9,3,1,4,5,4,11,37,9,13,5,2,5,46.4,49
S00105547,94,4,-,2,5,2,-,2,2,3,11,18,12,17,13,3,-,52,59
S00105548,161,9,3,4,9,1,3,1,9,9,37,32,18,11,10,3,2,42.6,42
S00105549,148,6,1,1,7,2,3,3,5,17,22,42,17,14,6,1,1,43.9,46
S00105550,95,5,-,1,7,-,2,1,3,9,20,24,6,12,3,2,-,42.4,44
S00105551,105,5,4,2,9,-,3,4,4,1,17,31,8,10,5,1,1,42.2,46
S00105552,96,3,-,-,6,1,2,-,7,3,18,27,11,11,6,1,-,46.6,50
S00105553,113,5,5,4,2,-,2,2,12,13,28,19,3,14,4,-,-,38.2,35
S00105554,163,13,3,5,8,3,5,5,11,18,34,37,9,11,1,-,-,34.7,32
S00105555,92,7,1,-,7,1,4,2,6,8,23,23,5,1,4,-,-,35.4,34
S00105556,127,6,1,2,7,1,3,4,12,9,16,44,5,7,8,1,1,41.4,46
S00105557,66,4,1,-,2,2,1,3,3,3,6,27,8,4,1,1,-,43,49
S00105558,183,9,3,3,15,1,8,6,17,13,43,36,9,14,6,-,-,36.7,36
S00105559,161,6,6,3,13,2,1,3,6,8,32,33,14,14,13,5,2,44.1,45
S00105560,130,5,3,3,7,3,3,3,4,6,22,28,10,11,16,5,1,46.6,48
S00105561,126,5,7,3,11,-,2,-,6,8,27,26,10,14,7,-,-,40.2,43
S00105562,92,3,1,1,7,2,4,-,3,5,15,33,12,6,-,-,-,42.4,46
S00105563,202,15,6,12,29,5,4,10,13,12,42,36,8,7,3,-,-,29.9,29
S00105564,116,3,5,3,6,-,1,1,8,7,25,36,7,9,4,1,-,41.7,44
S00105565,116,10,3,1,1,-,2,3,12,14,30,21,4,8,6,1,-,37.6,34
S00105566,120,9,1,-,7,1,1,2,5,14,24,34,8,11,3,-,-,40.1,42
S00105567,106,9,2,-,4,2,2,2,7,10,20,25,12,7,3,1,-,39.8,40
S00105568,85,9,2,6,5,2,2,2,5,4,19,18,3,4,4,-,-,33.7,35
S00105569,162,5,3,3,13,2,5,5,10,11,39,42,7,12,5,-,-,38.3,39
S00105570,61,9,3,1,4,2,2,-,5,3,14,13,2,1,1,-,1,30.8,31
S00105571,156,18,16,4,11,-,2,2,10,13,50,24,4,2,-,-,-,28.3,33
S00105572,80,3,1,-,3,-,4,4,-,3,16,21,11,10,2,2,-,45.9,49
S00105573,127,10,4,4,4,1,4,2,-,-,24,23,13,14,15,9,-,47.7,51
S00105574,108,-,-,1,1,-,-,2,2,5,14,16,7,12,32,13,3,63.1,68
S00105575,164,8,6,5,9,2,8,4,8,3,21,40,9,16,20,5,-,44,48
S00105576,121,14,3,1,9,1,3,4,3,3,26,27,11,6,9,-,1,39.2,41
S00105577,132,15,2,4,8,2,3,3,3,1,32,25,5,8,14,6,1,41.9,42
S00105578,96,3,3,5,6,2,3,3,3,1,17,16,1,15,10,6,2,46.6,48
S00105579,90,1,5,1,8,-,2,3,3,3,16,16,4,12,9,4,3,47.4,48
S00105580,109,-,5,3,7,3,1,2,3,4,9,30,4,19,17,2,-,49.3,52
S00105581,131,9,1,3,7,1,2,4,6,4,22,27,12,14,15,3,1,45.2,46
S00105582,114,1,3,1,16,-,1,1,1,1,14,25,10,18,19,3,-,50,53
S00105583,100,4,4,2,3,2,2,1,2,3,19,23,6,13,11,2,3,48.2,50
S00105584,117,11,2,1,10,3,1,3,3,-,25,35,13,3,6,1,-,40.5,44
S00105585,110,9,4,2,10,-,-,-,4,4,26,24,4,9,12,1,1,41.9,43
S00105586,113,6,5,3,4,-,-,-,2,10,14,29,4,16,14,4,2,48.5,52
S00105587,121,8,3,2,8,-,4,1,3,3,25,30,12,11,7,4,-,43.8,47
S00105588,95,6,1,-,2,-,-,1,8,22,32,14,2,3,3,-,1,35.6,31
S00105589,110,8,3,4,7,-,3,3,4,4,21,23,8,14,7,1,-,41.4,44
S00105590,104,4,-,1,8,1,3,4,4,3,10,36,10,12,5,3,-,45.8,50
S00105591,120,8,3,3,5,1,1,-,10,7,18,28,15,10,7,4,-,43.8,48
S00105592,119,11,5,3,7,1,1,-,3,8,38,26,3,7,6,-,-,37.7,40
S00105593,130,10,5,6,10,-,4,-,3,3,25,31,11,13,9,-,-,40.5,44
S00105594,139,10,5,2,9,2,7,2,4,3,23,34,13,15,8,2,-,41.8,46
S00105595,97,9,3,1,5,1,1,2,4,6,22,22,1,9,10,1,-,40.7,42
S00105596,110,4,3,2,4,3,-,1,5,-,15,31,12,15,14,1,-,49.1,53
S00105597,129,5,4,1,3,2,3,8,7,2,12,36,16,13,12,4,1,47.3,51
S00105598,120,6,2,5,7,1,4,3,9,1,19,32,5,13,9,3,1,43,46
S00105599,101,9,5,3,4,-,3,-,4,2,24,16,6,8,14,2,1,42.5,43
S00105600,84,5,4,3,6,-,-,3,-,-,16,12,9,10,15,1,-,47.3,49
S00105601,132,8,4,2,4,1,5,1,5,6,21,31,10,17,16,1,-,46,50
S00105602,132,12,9,3,4,1,1,1,6,7,33,25,12,10,8,-,-,39.1,39
S00105603,124,9,4,3,7,1,3,1,2,3,31,30,8,8,13,-,1,42.3,43
S00105604,138,6,6,1,7,2,1,1,9,6,19,33,7,22,14,4,-,46.4,49
S00105605,136,11,4,1,5,1,3,2,17,2,23,30,7,20,10,-,-,41.1,43
S00105606,146,12,4,1,12,-,2,3,10,3,26,40,9,11,11,2,-,40.7,45
S00105607,102,7,3,4,5,1,1,2,7,5,25,25,11,5,-,-,1,37.3,37
S00105608,73,5,-,2,2,1,-,1,3,13,25,15,4,-,2,-,-,34.6,31
S00105609,67,1,-,-,2,-,2,2,3,8,12,20,8,4,4,1,-,45.3,47
S00105610,81,-,-,-,1,1,3,3,1,3,-,20,8,28,11,2,-,58.7,65
S00105611,59,2,2,1,3,-,2,2,6,2,10,17,9,2,-,1,-,39.6,44
S00105612,129,10,3,1,8,1,-,2,10,24,29,31,5,2,2,1,-,34.2,33
S00105613,112,5,4,1,4,-,3,2,7,16,30,28,3,6,3,-,-,36.9,33
S00105614,51,6,1,-,1,2,-,-,2,8,19,7,2,3,-,-,-,34,34
S00105615,103,7,3,1,3,-,-,3,4,14,28,23,9,5,3,-,-,38.5,40
S00105616,90,10,-,1,5,2,4,1,7,11,28,17,-,1,3,-,-,31.4,31
S00105617,149,13,2,-,2,1,4,5,10,13,42,43,7,4,2,1,-,36.8,37
S00105618,139,6,4,3,5,1,5,10,9,11,36,35,7,3,4,-,-,35.7,36
S00105619,67,4,1,2,3,-,2,2,5,10,16,10,5,5,1,-,1,36.3,32
S00105620,89,5,2,5,4,2,3,1,14,15,18,10,7,3,-,-,-,31,27
S00105621,96,10,1,1,2,-,1,-,14,22,15,23,2,3,2,-,-,33.1,29
S00105622,94,6,1,-,3,1,2,5,7,17,19,26,3,4,-,-,-,35.2,33
S00105623,83,8,3,2,2,1,2,-,10,12,28,11,1,3,-,-,-,30,30
S00105624,133,13,5,3,7,4,3,3,17,17,29,27,3,1,1,-,-,29.5,28
S00105625,82,14,1,1,2,2,1,1,10,13,20,14,2,1,-,-,-,28.7,28
S00105626,84,7,2,2,1,-,2,3,5,17,19,14,2,4,6,-,-,35.3,32
S00105627,73,5,2,-,2,1,-,1,6,15,15,17,-,5,4,-,-,36.5,31
S00105628,129,11,1,1,-,-,2,2,14,22,40,26,4,-,3,3,-,35,32
S00105629,155,21,8,5,11,1,3,5,20,29,48,3,1,-,-,-,-,22.3,25
S00105630,105,5,2,-,1,1,1,2,7,6,24,20,8,18,6,2,2,46.6,48
S00105631,60,-,1,-,2,3,4,3,5,1,9,14,7,5,4,2,-,44.1,46
S00105632,52,-,-,1,2,-,-,-,1,6,15,16,7,1,2,1,-,44.6,45
S00105633,150,11,8,2,8,2,4,5,17,5,35,28,12,6,6,1,-,35.5,35
S00105634,136,3,2,1,8,3,3,3,13,4,17,41,5,15,14,4,-,46.5,51
S00105635,107,6,2,-,1,-,2,4,10,10,20,23,10,6,8,2,3,43.7,44
S00105636,101,2,1,2,3,2,-,2,4,1,17,31,6,10,13,5,2,52.2,55
S00105637,110,2,2,1,8,1,3,2,6,1,12,41,10,11,4,2,4,47.1,50
S00105638,96,2,3,1,9,-,3,3,7,6,14,20,6,10,8,4,-,43.3,45
S00105639,151,18,6,5,12,2,4,4,12,23,39,8,3,12,1,1,1,29.3,28
S00105640,137,33,6,4,5,1,3,3,15,28,34,5,-,-,-,-,-,20.9,24
S00105641,135,6,3,3,9,2,1,5,5,5,17,21,12,23,14,8,1,48.8,53
S00105642,127,11,6,2,9,1,5,6,8,7,20,32,6,7,3,4,-,36,37
S00105643,144,24,6,9,8,1,7,2,2,16,37,18,3,1,7,3,-,29.4,28
S00105644,91,9,5,1,9,-,2,-,6,2,30,8,4,3,9,3,-,36.8,36
S00105645,71,6,-,-,6,-,2,2,3,3,19,20,3,4,2,1,-,38.1,39
S00105646,104,9,4,1,4,6,1,3,9,11,19,17,7,9,4,-,-,35.4,31
S00105647,127,6,1,5,5,1,5,2,3,16,27,23,7,17,7,2,-,41.9,42
S00105648,116,4,6,2,7,3,3,-,4,4,31,25,6,10,10,1,-,41,42
S00105649,168,16,4,4,13,7,2,10,13,15,42,28,1,8,3,1,1,32,30
S00105650,141,7,6,1,6,1,2,2,5,11,36,17,13,17,14,2,1,44.1,43
S00105651,110,8,3,4,8,1,4,5,7,8,33,16,3,6,2,2,-,33.3,34
S00105652,108,3,2,1,15,2,3,-,6,7,19,20,4,10,16,-,-,42.2,43
S00105653,90,2,3,4,5,1,1,3,3,5,10,21,8,10,11,3,-,47,50
S00105654,96,11,2,2,4,2,5,1,10,9,13,18,4,11,2,2,-,35.9,32
S00105655,65,5,1,1,6,1,-,-,3,8,14,19,2,2,2,-,1,37.2,36
S00105656,84,19,6,5,7,-,3,2,7,9,11,12,1,1,-,1,-,22.7,20
S00105657,77,2,1,-,-,-,-,1,-,-,4,4,7,21,22,11,4,69.3,73
S00105658,133,4,4,4,6,2,1,6,17,13,30,27,11,2,3,3,-,36.6,36
S00105659,88,8,1,-,3,1,2,2,5,10,18,16,5,9,8,-,-,40.5,41
S00105660,75,2,1,3,5,1,1,4,5,4,12,16,4,4,11,1,1,43.6,44
S00105661,107,12,-,2,2,3,1,3,18,8,23,19,2,1,8,5,-,36.5,34
S00105662,61,6,4,1,-,-,-,2,10,6,16,12,2,2,-,-,-,31.9,31
S00105663,124,10,7,4,7,-,3,7,12,15,27,24,2,4,2,-,-,30.5,27
S00105664,81,10,5,1,4,-,-,1,7,3,21,13,3,5,7,1,-,36.6,34
S00105665,130,8,9,4,10,3,3,3,5,6,21,20,7,16,14,1,-,40,40
S00105666,77,10,2,-,5,-,2,5,4,7,12,16,4,2,7,1,-,35.5,33
S00105667,64,2,-,-,-,-,-,-,3,5,22,16,4,6,4,1,1,46.9,45
S00105668,71,1,2,-,3,-,1,-,1,12,21,18,3,4,4,-,1,41.8,42
S00105669,141,14,5,3,8,-,2,2,10,9,40,23,4,15,5,-,1,36.7,35
S00105670,111,17,4,5,10,2,1,3,10,7,21,24,2,1,4,-,-,28.6,26
S00105671,78,3,2,-,4,-,-,1,2,7,13,12,4,12,12,5,1,50.9,55
S00105672,123,14,1,4,8,1,9,2,4,3,34,21,4,14,3,1,-,36.1,36
S00105673,106,5,5,3,11,-,1,2,7,7,15,35,2,5,6,2,-,38,41
S00105674,124,9,7,6,10,2,2,-,4,15,22,16,8,15,3,4,1,37.3,39
S00105675,117,7,2,3,7,3,2,2,12,12,29,20,4,7,6,1,-,36,33
S00105676,106,9,1,4,8,1,3,3,8,10,24,23,7,2,1,2,-,33.9,33
S00105677,91,4,4,2,1,1,4,-,5,5,19,24,6,7,7,2,-,42.9,45
S00105678,115,10,3,5,6,2,3,4,5,5,31,18,11,7,5,-,-,36.8,37
S00105679,126,11,7,-,10,2,5,6,9,9,26,21,2,10,5,3,-,34.9,33
S00105680,89,4,1,-,5,2,3,4,6,6,20,22,3,11,2,-,-,39.2,41
S00105681,74,7,2,2,4,1,1,3,5,8,15,17,1,1,6,1,-,35.4,32
S00105682,137,10,6,-,7,-,4,5,13,14,21,33,8,6,7,2,1,37.8,35
S00105683,178,13,6,1,9,3,7,7,10,12,48,35,10,11,5,1,-,36.6,38
S00105684,101,5,1,-,4,-,3,1,7,8,21,24,3,10,7,4,3,46.1,45
S00105685,80,1,-,-,-,-,1,3,4,10,17,18,7,4,14,1,-,49.2,51
S00105686,70,4,-,1,1,1,1,1,5,4,15,7,5,8,13,2,2,49.7,53
S00105687,109,12,2,2,4,-,1,3,13,8,20,25,6,6,4,1,2,37.5,36
S00105688,100,-,-,-,1,-,-,-,5,4,7,20,10,21,22,8,2,62.7,66
S00105689,95,4,4,2,7,3,1,1,6,5,18,21,4,9,6,1,3,41.7,41
S00105690,138,10,11,6,3,1,2,2,4,1,26,25,10,13,19,5,-,44.7,48
S00105691,111,12,5,3,4,-,2,-,8,3,23,30,9,3,6,3,-,39.7,42
S00105692,117,6,4,1,5,-,7,-,3,1,26,24,13,17,8,1,1,45.6,50
S00105693,124,6,4,3,8,2,7,1,6,5,18,32,15,14,3,-,-,40.9,46
S00105694,194,19,9,5,12,3,8,4,4,2,47,51,11,15,2,1,1,36.5,40
S00105695,86,8,3,2,8,-,2,1,3,2,15,22,8,8,4,-,-,39.6,44
S00105696,65,3,1,-,-,1,-,1,2,4,14,20,4,3,10,2,-,48.9,49
S00105697,136,13,7,1,-,2,1,1,3,10,46,37,11,2,2,-,-,37,38
S00105698,125,1,1,3,9,3,4,1,5,2,9,35,18,18,14,2,-,49.7,52
S00105699,104,6,4,1,4,-,4,2,1,-,23,26,10,12,9,2,-,46,50
S00105700,105,7,7,1,3,1,1,1,4,-,14,31,6,15,11,-,3,47.5,53
S00105701,107,3,4,1,6,-,2,2,4,2,17,24,15,14,8,5,-,48.8,53
S00105702,76,3,2,2,5,3,-,3,4,1,15,14,12,4,6,1,1,43.4,44
S00105703,128,10,5,4,4,1,-,6,4,8,29,34,9,8,5,-,1,39.6,41
S00105704,84,3,-,3,7,-,1,1,1,-,16,26,8,11,5,2,-,47.2,51
S00105705,105,5,5,1,7,-,2,1,5,6,20,20,5,18,4,4,2,45,45
S00105706,77,-,2,1,4,2,2,2,4,4,19,20,4,7,6,-,-,42.9,41
S00105707,101,9,4,1,2,-,1,1,5,6,33,18,8,8,3,1,1,39.8,40
S00105708,125,4,3,2,10,3,6,-,2,-,15,27,9,22,14,6,2,49.4,54
S00105709,484,11,6,3,104,45,106,55,7,10,29,42,15,30,16,4,1,27.6,17
S00105710,116,5,5,2,9,1,1,-,2,1,12,21,9,23,17,4,4,52.4,59
S00105711,157,15,6,7,9,3,3,4,7,12,45,31,3,6,6,-,-,33.5,33
S00105712,100,2,1,-,1,-,-,-,1,1,3,8,10,24,32,6,11,70.4,74
S00105713,154,11,3,5,7,2,6,-,9,10,30,33,11,16,10,1,-,39.9,41
S00105714,110,13,7,4,7,1,4,5,1,2,34,20,8,2,1,1,-,31.7,34
S00105715,130,5,6,6,12,-,3,3,4,3,25,31,7,12,11,1,1,41.5,44
S00105716,113,10,3,5,6,1,2,1,3,1,20,29,6,13,12,1,-,43.5,47
S00105717,109,3,5,7,8,3,3,2,2,3,24,19,7,12,6,4,1,41.7,43
S00105718,133,10,4,6,7,1,1,1,2,4,27,30,8,16,8,7,1,44.7,47
S00105719,159,10,9,5,14,3,1,1,4,-,39,39,10,14,8,2,-,40.1,43
S00105720,136,4,2,-,13,2,5,1,2,6,18,29,15,21,15,3,-,48.6,54
