,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00107075,183,176,121,28,14,-,3,10,-,6,-,6,-,-,-,1,1,-,-,-,-,-,-,-,-
S00107076,134,117,86,21,5,-,1,4,-,12,2,3,-,1,6,5,5,-,-,-,-,-,-,-,-
S00107077,114,107,79,16,1,-,6,5,-,-,-,-,-,-,-,3,3,-,1,1,-,-,3,3,-
S00107078,157,151,82,31,1,-,30,7,-,6,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00107079,66,49,29,10,2,-,-,8,2,8,2,-,-,6,-,1,1,-,-,-,-,-,6,6,-
S00107080,104,97,57,12,3,-,12,13,1,1,-,-,-,1,-,5,5,-,-,-,-,-,-,-,-
S00107081,103,93,52,7,5,-,20,9,-,8,6,2,-,-,-,2,2,-,-,-,-,-,-,-,-
S00107082,137,129,104,16,4,-,2,3,1,4,-,2,-,1,1,1,1,-,1,-,1,-,1,1,-
S00107083,126,122,73,15,3,-,12,19,1,1,-,-,-,-,1,-,-,-,2,-,2,-,-,-,-
S00107084,122,121,76,30,4,-,1,10,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
S00107085,88,81,49,13,2,-,8,9,3,4,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00107086,103,88,52,17,4,-,4,11,1,11,-,6,-,5,-,-,-,-,-,-,-,-,3,2,1
S00107087,111,106,55,33,2,-,2,14,3,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1
S00107088,121,115,75,17,8,-,8,7,1,3,-,-,-,-,3,2,2,-,-,-,-,-,-,-,-
S00107089,108,103,73,12,-,-,8,10,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107090,138,127,85,8,5,-,22,7,-,10,2,-,-,4,4,-,-,-,1,1,-,-,-,-,-
S00107091,66,52,27,2,1,-,20,2,1,9,4,4,-,-,1,4,4,-,-,-,-,-,-,-,-
S00107092,101,82,47,10,2,-,18,5,-,18,-,7,-,1,10,1,1,-,-,-,-,-,-,-,-
S00107093,85,67,44,10,3,-,5,5,-,17,-,8,2,1,6,1,1,-,-,-,-,-,-,-,-
S00107094,97,87,69,13,1,-,-,4,1,9,7,1,-,-,1,-,-,-,-,-,-,-,-,-,-
S00107095,88,67,39,12,1,-,4,11,2,18,2,1,7,5,3,-,-,-,-,-,-,-,1,-,1
S00107096,211,199,122,10,4,-,60,3,1,8,-,-,-,-,8,1,1,-,2,1,1,-,-,-,-
S00107097,107,74,44,14,2,-,12,2,26,5,-,-,-,4,1,-,-,-,-,-,-,-,2,-,2
S00107098,106,96,74,17,1,-,2,2,2,7,3,3,-,1,-,-,-,-,1,-,1,-,-,-,-
S00107099,107,101,66,11,8,-,10,6,2,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107100,111,111,101,5,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107101,74,66,55,4,2,-,3,2,-,6,-,2,-,-,4,1,1,-,-,-,-,-,1,1,-
S00107102,137,133,121,6,4,-,-,2,-,2,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-
S00107103,133,120,102,13,-,-,-,5,-,13,12,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00107104,129,122,89,26,4,-,1,2,1,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107105,102,98,95,2,-,-,-,1,-,4,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-
S00107106,80,78,65,3,1,-,6,3,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107107,204,160,56,34,8,-,13,49,5,34,7,15,-,9,3,4,4,-,-,-,-,-,1,1,-
S00107108,73,66,34,16,3,-,8,5,-,5,-,3,-,2,-,2,2,-,-,-,-,-,-,-,-
S00107109,68,59,27,17,7,-,1,7,1,5,-,3,1,-,1,-,-,-,-,-,-,-,3,1,2
S00107110,111,67,60,5,1,-,-,1,3,31,31,-,-,-,-,7,7,-,1,1,-,-,2,2,-
S00107111,111,81,36,14,5,1,14,11,1,22,7,8,-,6,1,7,4,3,-,-,-,-,-,-,-
S00107112,114,107,79,11,1,-,4,12,-,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107113,66,49,38,2,3,-,3,3,3,13,-,10,1,2,-,-,-,-,-,-,-,-,1,-,1
S00107114,94,83,43,23,2,-,7,8,1,9,-,5,-,-,4,-,-,-,-,-,-,-,1,-,1
S00107115,74,67,45,8,-,1,3,10,-,4,-,-,-,4,-,-,-,-,-,-,-,-,3,3,-
S00107116,135,118,77,13,10,-,12,6,-,16,8,-,6,2,-,-,-,-,1,1,-,-,-,-,-
S00107117,88,66,40,12,3,-,1,10,-,20,7,3,-,10,-,2,2,-,-,-,-,-,-,-,-
S00107118,85,75,36,27,2,-,2,8,2,6,-,4,-,1,1,1,1,-,-,-,-,-,1,-,1
S00107119,109,86,46,24,6,-,1,9,1,18,1,8,-,2,7,4,4,-,-,-,-,-,-,-,-
