,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00104239,81,80,59,5,2,-,11,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00104240,65,54,41,10,1,-,1,1,-,11,5,4,-,1,1,-,-,-,-,-,-,-,-,-,-
S00104241,80,59,38,12,2,-,3,4,-,21,4,11,-,-,6,-,-,-,-,-,-,-,-,-,-
S00104242,122,106,51,18,8,-,15,14,3,12,-,5,-,6,1,-,-,-,-,-,-,-,1,1,-
S00104243,101,92,59,19,4,-,1,9,4,3,-,1,-,2,-,2,2,-,-,-,-,-,-,-,-
S00104244,58,57,39,5,1,-,9,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104245,92,88,50,12,9,-,2,15,-,3,2,-,1,-,-,-,-,-,1,-,1,-,-,-,-
S00104246,102,98,65,17,2,-,-,14,-,3,1,-,-,1,1,1,1,-,-,-,-,-,-,-,-
S00104247,57,49,35,9,-,-,4,1,-,7,1,1,-,2,3,1,1,-,-,-,-,-,-,-,-
S00104248,107,94,75,9,2,-,4,4,2,8,2,1,-,-,5,-,-,-,-,-,-,-,3,3,-
S00104249,73,67,52,3,2,-,2,8,1,4,-,-,3,1,-,1,-,1,-,-,-,-,-,-,-
S00104250,86,70,43,12,4,-,6,5,-,16,6,-,-,10,-,-,-,-,-,-,-,-,-,-,-
S00104251,57,51,30,4,-,-,9,8,1,2,1,-,-,-,1,-,-,-,-,-,-,-,3,1,2
S00104252,58,55,37,5,1,-,5,7,-,3,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104253,80,77,58,7,4,-,4,4,1,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00104254,62,57,39,6,-,-,8,4,-,4,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-
S00104255,118,113,80,13,-,-,17,3,1,3,-,2,-,-,1,-,-,-,-,-,-,-,1,-,1
S00104256,88,84,49,7,1,-,12,15,-,4,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-
S00104257,92,86,58,4,1,-,8,15,-,6,-,1,-,1,4,-,-,-,-,-,-,-,-,-,-
S00104258,100,95,67,13,-,-,13,2,-,5,1,2,-,1,1,-,-,-,-,-,-,-,-,-,-
S00104259,66,65,53,7,1,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104260,114,106,72,14,4,-,12,4,-,8,3,4,1,-,-,-,-,-,-,-,-,-,-,-,-
S00104261,71,64,50,8,-,-,4,2,1,5,-,-,4,1,-,1,1,-,-,-,-,-,-,-,-
S00104262,116,112,69,17,3,-,9,14,1,2,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-
S00104263,79,74,38,10,3,-,3,20,-,4,-,-,-,4,-,1,1,-,-,-,-,-,-,-,-
S00104264,100,87,60,9,2,-,5,11,1,10,-,5,5,-,-,1,1,-,-,-,-,-,1,-,1
S00104265,131,123,72,14,6,1,6,24,-,5,2,-,-,2,1,2,2,-,1,-,1,-,-,-,-
S00104266,61,61,41,9,1,-,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104267,151,138,114,12,3,-,-,9,6,-,-,-,-,-,-,3,2,1,-,-,-,-,4,4,-
S00104268,114,89,62,12,2,-,6,7,1,24,12,-,12,-,-,-,-,-,-,-,-,-,-,-,-
S00104269,59,56,55,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104270,139,122,82,16,3,-,8,13,3,14,4,-,-,9,1,-,-,-,-,-,-,-,-,-,-
S00104271,84,80,50,8,5,-,14,3,-,1,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-
S00104272,146,126,98,7,1,-,19,1,1,18,5,8,-,1,4,1,1,-,-,-,-,-,-,-,-
S00104273,90,82,67,4,-,-,8,3,1,6,-,-,-,1,5,1,1,-,-,-,-,-,-,-,-
S00104274,84,79,56,4,4,-,9,6,1,4,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104275,65,64,43,6,2,-,4,9,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104276,54,47,33,8,1,-,2,3,-,6,-,1,-,4,1,1,1,-,-,-,-,-,-,-,-
S00104277,128,122,79,17,-,-,22,4,-,5,-,-,-,-,5,-,-,-,1,-,1,-,-,-,-
S00104278,106,97,70,9,6,-,6,6,2,2,-,-,-,-,2,-,-,-,-,-,-,-,5,5,-
S00104279,131,106,52,16,3,-,18,17,-,25,8,2,5,5,5,-,-,-,-,-,-,-,-,-,-
S00104280,128,123,74,18,7,-,19,5,-,4,1,-,-,2,1,-,-,-,-,-,-,-,1,1,-
S00104281,148,123,83,11,-,1,13,15,2,23,17,4,-,1,1,-,-,-,-,-,-,-,-,-,-
S00104282,131,126,81,21,3,-,17,4,2,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00104283,132,122,116,3,1,-,-,2,-,9,6,-,2,-,1,-,-,-,-,-,-,-,1,1,-
S00104284,80,78,70,2,1,-,-,5,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104285,67,67,66,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104286,138,125,98,9,5,-,5,8,-,12,-,7,-,4,1,1,1,-,-,-,-,-,-,-,-
S00104287,100,88,62,15,1,-,-,10,-,10,-,1,3,-,6,1,1,-,1,-,1,-,-,-,-
S00104288,105,93,71,17,1,-,2,2,-,11,-,-,-,2,9,-,-,-,-,-,-,-,1,1,-
S00104289,65,62,44,9,-,-,4,5,-,2,-,1,-,-,1,-,-,-,-,-,-,-,1,-,1
S00104290,80,77,59,9,2,-,-,7,-,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104291,79,78,55,21,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104292,77,75,50,19,1,-,-,5,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104293,108,86,54,20,1,-,1,10,1,18,12,-,-,4,2,1,1,-,1,-,1,-,1,-,1
S00104294,177,165,135,25,1,-,-,4,4,7,-,6,-,1,-,1,1,-,-,-,-,-,-,-,-
S00104295,109,97,65,19,4,-,3,6,-,10,3,5,-,-,2,1,1,-,-,-,-,-,1,1,-
S00104296,102,98,74,9,1,-,1,13,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104297,125,124,101,20,2,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00104298,113,101,92,4,-,-,4,1,3,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104299,65,64,50,5,2,-,4,3,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104300,116,113,88,22,-,-,-,3,1,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-
S00104301,123,117,84,13,-,-,10,10,3,1,1,-,-,-,-,1,1,-,-,-,-,-,1,-,1
S00104302,85,84,66,15,2,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104303,131,126,107,9,1,-,-,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00104304,106,102,79,14,1,-,-,8,2,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1
S00104305,107,107,88,11,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104306,120,113,97,9,5,-,-,2,2,1,-,-,-,-,1,2,2,-,1,-,1,-,1,-,1
S00104307,86,86,79,2,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104308,100,97,78,13,1,-,2,3,-,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00104309,103,99,93,1,3,-,-,2,-,4,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104310,123,120,98,12,2,-,3,5,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104311,114,103,55,21,3,-,2,22,1,8,-,6,-,1,1,-,-,-,1,1,-,-,1,-,1
S00104312,80,72,32,23,8,-,1,8,4,3,1,1,-,1,-,-,-,-,-,-,-,-,1,-,1
S00104313,75,60,34,14,2,-,2,8,-,15,11,2,-,2,-,-,-,-,-,-,-,-,-,-,-
S00104314,130,96,52,16,6,-,9,13,1,33,7,15,-,3,8,-,-,-,-,-,-,-,-,-,-
S00104315,88,74,56,7,1,-,8,2,-,11,-,4,-,-,7,2,2,-,1,-,1,-,-,-,-
S00104316,125,106,85,9,1,-,7,4,1,17,9,2,5,-,1,-,-,-,-,-,-,-,1,-,1
S00104317,110,102,76,6,2,-,4,14,1,4,-,-,-,-,4,-,-,-,1,1,-,-,2,2,-
S00104318,89,76,48,17,1,-,2,8,1,12,8,2,-,-,2,-,-,-,-,-,-,-,-,-,-
S00104319,58,48,34,4,1,-,3,6,1,7,-,4,-,-,3,1,1,-,1,1,-,-,-,-,-
S00104320,66,65,51,8,1,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00104321,109,92,68,13,6,-,1,4,1,12,-,3,-,1,8,-,-,-,-,-,-,-,4,-,4
S00104322,79,65,37,11,1,-,5,11,3,11,6,2,-,2,1,-,-,-,-,-,-,-,-,-,-
S00104323,97,89,43,25,6,-,5,10,2,6,2,1,-,-,3,-,-,-,-,-,-,-,-,-,-
S00104324,121,115,56,41,6,-,1,11,2,3,-,-,-,2,1,1,-,1,-,-,-,-,-,-,-
S00104325,135,134,101,17,2,-,4,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104326,170,161,132,19,2,-,2,6,-,9,1,4,-,3,1,-,-,-,-,-,-,-,-,-,-
S00104327,74,71,33,27,2,-,-,9,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104328,71,64,39,8,2,-,4,11,4,3,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-
S00104329,87,80,56,17,2,-,-,5,1,5,-,4,-,-,1,1,1,-,-,-,-,-,-,-,-
S00104330,86,78,38,19,6,-,2,13,1,2,-,1,-,-,1,1,1,-,1,1,-,-,3,3,-
S00104331,102,95,67,9,6,-,-,13,2,4,-,1,2,-,1,-,-,-,-,-,-,-,1,-,1
S00104332,141,133,87,26,8,-,1,11,3,4,-,3,-,-,1,-,-,-,1,-,1,-,-,-,-
S00104333,125,121,77,30,-,-,1,13,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104334,115,109,55,31,8,-,3,12,-,4,-,1,-,-,3,1,1,-,-,-,-,-,1,-,1
S00104335,103,85,73,4,2,1,5,-,-,13,10,-,1,1,1,3,3,-,1,-,-,1,1,1,-
S00104336,149,145,83,37,8,-,2,15,2,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-
S00104337,169,130,87,24,6,-,3,10,7,30,13,-,12,-,5,1,1,-,1,1,-,-,-,-,-
S00104338,179,175,140,19,3,-,1,12,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00104339,132,116,70,31,2,-,-,13,-,14,5,-,6,-,3,-,-,-,1,-,1,-,1,-,1
S00104340,69,64,42,8,7,-,-,7,-,3,2,-,-,1,-,1,1,-,-,-,-,-,1,-,1
S00104341,62,56,39,8,6,-,3,-,-,5,-,2,-,-,3,-,-,-,1,-,1,-,-,-,-
S00104342,64,64,31,18,2,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104343,100,95,70,10,7,-,3,5,1,4,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104344,92,86,58,9,2,-,8,9,1,4,-,-,-,3,1,1,1,-,-,-,-,-,-,-,-
S00104345,70,69,50,5,3,-,6,5,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104346,75,67,46,8,1,-,-,12,2,5,-,2,-,3,-,1,1,-,-,-,-,-,-,-,-
S00104347,129,124,95,17,4,-,-,8,-,3,-,-,-,3,-,-,-,-,1,1,-,-,1,1,-
S00104348,124,117,101,14,1,-,-,1,-,6,-,3,-,3,-,-,-,-,-,-,-,-,1,1,-
S00104349,106,103,97,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-
S00104350,90,82,59,16,-,-,6,1,4,3,-,-,-,2,1,-,-,-,-,-,-,-,1,1,-
S00104351,84,82,56,16,-,-,3,7,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00104352,75,73,67,5,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00104353,96,88,52,12,5,-,7,12,1,6,5,-,-,1,-,-,-,-,1,1,-,-,-,-,-
S00104354,83,72,57,6,-,-,-,9,-,11,9,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00104355,155,148,80,36,6,-,9,17,-,6,2,-,-,4,-,1,1,-,-,-,-,-,-,-,-
S00104356,64,61,44,9,3,-,3,2,-,2,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1
S00104357,132,124,83,24,4,-,-,13,-,3,-,-,1,1,1,2,2,-,-,-,-,-,3,1,2
S00104358,74,61,36,11,3,-,1,10,-,6,2,2,-,2,-,4,4,-,-,-,-,-,3,3,-
S00104359,149,119,69,30,5,-,9,6,2,23,4,8,-,10,1,1,1,-,-,-,-,-,4,4,-
S00104360,100,93,62,19,4,-,4,4,1,6,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
S00104361,83,68,44,11,1,-,4,8,1,11,1,4,5,1,-,1,-,1,-,-,-,-,2,-,2
S00104362,108,100,62,15,-,2,7,14,-,7,1,5,-,1,-,1,1,-,-,-,-,-,-,-,-
S00104363,63,62,39,14,3,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00104364,87,77,41,16,3,-,7,10,-,7,-,4,-,1,2,3,3,-,-,-,-,-,-,-,-
S00104365,170,164,97,36,4,-,5,22,1,5,-,1,-,3,1,-,-,-,-,-,-,-,-,-,-
S00104366,115,103,75,13,5,-,2,8,-,12,6,1,5,-,-,-,-,-,-,-,-,-,-,-,-
S00104367,73,68,53,5,2,-,2,6,-,4,1,-,-,1,2,1,1,-,-,-,-,-,-,-,-
S00104368,89,72,61,5,-,-,6,-,1,10,-,4,4,-,2,-,-,-,-,-,-,-,6,6,-
S00104369,116,105,71,16,5,-,3,10,4,5,-,5,-,-,-,2,2,-,-,-,-,-,-,-,-
S00104370,94,76,61,7,1,-,4,3,2,10,5,2,1,1,1,5,5,-,-,-,-,-,1,1,-
S00104371,65,65,57,5,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104372,62,53,30,12,2,-,2,7,3,5,-,2,1,1,1,1,1,-,-,-,-,-,-,-,-
S00104373,85,79,38,33,-,-,1,7,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104374,115,106,60,31,3,-,1,11,3,4,-,3,-,-,1,-,-,-,-,-,-,-,2,1,1
S00104375,106,102,61,25,7,-,4,5,1,2,-,-,-,2,-,-,-,-,1,1,-,-,-,-,-
S00104376,103,93,52,24,-,-,4,13,2,8,3,2,-,-,3,-,-,-,-,-,-,-,-,-,-
S00104377,108,99,46,28,3,-,-,22,1,8,-,1,-,5,2,-,-,-,-,-,-,-,-,-,-
S00104378,74,73,47,16,3,-,1,6,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104379,111,107,64,21,5,-,4,13,1,2,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-
S00104380,91,83,49,18,3,-,-,13,-,6,-,2,-,3,1,2,2,-,-,-,-,-,-,-,-
S00104381,104,97,59,21,2,-,3,12,4,2,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-
S00104382,69,68,31,15,5,-,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104383,107,87,64,12,3,-,4,4,5,9,1,3,-,1,4,4,4,-,-,-,-,-,2,-,2
S00104384,74,72,53,13,1,-,1,4,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104385,67,66,35,18,4,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00104386,99,92,51,21,1,-,7,12,2,5,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104387,115,108,51,18,11,-,5,23,1,5,-,-,-,1,4,1,1,-,-,-,-,-,-,-,-
S00104388,95,82,47,23,1,-,1,10,2,11,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-
S00104389,91,87,43,24,7,-,2,11,1,1,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-
S00104390,118,104,51,23,7,-,7,16,1,13,-,2,6,2,3,-,-,-,-,-,-,-,-,-,-
S00104391,93,90,64,18,1,-,-,7,-,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104392,88,82,37,22,1,-,1,21,-,6,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
S00104393,107,100,64,22,3,-,3,8,3,1,-,1,-,-,-,2,2,-,-,-,-,-,1,-,1
S00104394,63,61,39,16,2,-,-,4,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104395,78,78,43,18,4,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104396,92,81,47,18,4,-,-,12,-,6,5,-,-,-,1,4,4,-,1,1,-,-,-,-,-
S00104397,104,100,46,37,4,-,-,13,1,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-
S00104398,99,98,58,14,9,-,6,11,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104399,82,80,59,9,3,1,4,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00104400,71,69,43,6,-,-,4,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104401,83,77,58,3,5,-,3,8,4,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-
S00104402,63,62,52,3,-,1,-,6,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
S00104403,118,112,90,10,2,-,1,9,4,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1
S00104404,111,91,69,12,-,-,-,10,3,13,7,5,-,1,-,-,-,-,-,-,-,-,4,4,-
S00104405,78,72,36,9,2,-,7,18,1,5,2,1,-,-,2,-,-,-,-,-,-,-,-,-,-
S00104406,122,118,73,17,8,-,7,13,-,2,-,2,-,-,-,1,1,-,1,1,-,-,-,-,-
S00104407,65,63,35,8,4,-,6,10,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104408,80,78,57,11,1,-,3,6,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104409,81,76,50,12,4,-,3,7,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104410,139,121,91,17,1,-,3,9,2,12,1,4,4,1,2,-,-,-,2,1,1,-,2,2,-
S00104411,115,114,83,19,4,-,-,8,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104412,78,76,53,11,4,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
S00104413,103,91,43,13,5,-,16,14,5,4,4,-,-,-,-,1,1,-,1,1,-,-,1,-,1
S00104414,61,57,43,8,1,-,2,3,1,2,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1
S00104415,52,49,35,12,1,-,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104416,103,98,54,15,4,-,19,6,2,2,-,1,-,-,1,-,-,-,1,1,-,-,-,-,-
S00104417,74,71,48,8,3,-,8,4,-,2,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1
S00104418,85,80,46,13,2,-,5,14,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104419,126,123,77,19,4,-,4,19,1,1,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-
S00104420,75,74,56,10,-,-,2,6,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104421,93,86,41,18,6,-,5,16,2,3,-,2,-,1,-,-,-,-,1,1,-,-,1,-,1
S00104422,131,123,74,24,4,-,7,14,2,5,5,-,-,-,-,-,-,-,1,-,1,-,-,-,-
S00104423,84,79,54,16,4,1,2,2,1,-,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-
S00104424,88,87,67,9,3,-,5,3,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104425,116,107,67,16,2,-,15,7,4,4,-,1,-,-,3,-,-,-,-,-,-,-,1,-,1
S00104426,55,52,37,5,-,-,3,7,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00104427,58,52,26,5,8,-,6,7,2,3,-,3,-,-,-,1,1,-,-,-,-,-,-,-,-
S00104428,80,77,43,9,4,-,8,13,-,2,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-
S00104429,76,75,52,8,-,-,4,11,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00104430,78,68,56,6,-,-,3,3,-,10,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104431,87,85,53,10,3,-,8,11,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
S00104432,59,54,35,7,-,-,5,7,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104433,90,66,34,13,1,-,15,3,2,22,5,10,-,4,3,-,-,-,-,-,-,-,-,-,-
S00104434,105,89,47,23,6,1,7,5,2,11,1,8,-,2,-,1,1,-,1,1,-,-,1,1,-
S00104435,63,53,37,3,-,-,8,5,-,9,5,1,1,2,-,1,1,-,-,-,-,-,-,-,-
S00104436,106,88,37,13,1,-,18,19,-,17,4,6,-,3,4,1,1,-,-,-,-,-,-,-,-
S00104437,120,97,49,16,6,-,16,10,2,18,5,9,-,1,3,1,1,-,-,-,-,-,2,1,1
S00104438,97,75,52,8,4,-,2,9,-,17,4,9,-,1,3,-,-,-,1,-,1,-,4,4,-
S00104439,63,54,42,3,-,-,5,4,-,6,2,3,-,-,1,3,3,-,-,-,-,-,-,-,-
S00104440,112,91,52,18,1,-,9,11,2,15,2,8,-,5,-,4,4,-,-,-,-,-,-,-,-
S00104441,100,97,62,6,8,-,8,13,-,2,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1
S00104442,70,62,39,7,2,-,5,9,1,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104443,60,55,34,9,1,-,6,5,1,3,-,3,-,-,-,-,-,-,-,-,-,-,1,-,1
S00104444,83,79,52,6,2,-,12,7,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104445,114,110,43,6,7,-,33,21,1,2,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1
S00104446,85,77,45,4,4,-,19,5,-,4,-,-,-,4,-,-,-,-,4,-,4,-,-,-,-
S00104447,108,93,44,9,1,-,35,4,-,13,2,4,-,3,4,-,-,-,-,-,-,-,2,-,2
S00104448,80,78,61,9,2,-,-,6,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-,-,-
S00104449,85,80,54,6,3,-,9,8,1,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-
S00104450,59,59,37,11,2,-,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104451,135,120,75,17,4,-,15,9,1,7,5,-,-,-,2,1,1,-,2,2,-,-,4,2,2
S00104452,108,104,69,13,4,-,11,7,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104453,66,61,33,7,3,-,8,10,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104454,83,74,47,8,1,-,11,7,2,6,-,-,5,-,1,-,-,-,-,-,-,-,1,-,1
S00104455,143,127,70,21,2,-,24,10,3,11,3,3,-,4,1,2,2,-,-,-,-,-,-,-,-
S00104456,123,111,68,24,3,-,3,13,2,5,-,2,-,3,-,2,2,-,2,1,1,-,1,1,-
S00104457,91,89,73,6,1,1,5,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00104458,100,90,55,9,3,-,15,8,2,6,-,3,-,-,3,2,2,-,-,-,-,-,-,-,-
S00104459,179,173,145,10,2,-,10,6,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104460,57,54,28,13,-,-,6,7,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-
S00104461,70,66,34,10,2,-,12,8,-,4,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-
S00104462,147,125,106,12,2,-,1,4,1,18,8,4,3,1,2,2,2,-,1,1,-,-,-,-,-
S00104463,103,61,31,11,2,-,10,7,1,34,16,10,-,3,5,4,4,-,-,-,-,-,3,3,-
S00104464,105,99,66,14,1,-,14,4,2,-,-,-,-,-,-,-,-,-,2,2,-,-,2,2,-
S00104465,56,54,36,5,1,-,3,9,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104466,83,79,44,17,2,-,6,10,2,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-,-
S00104467,63,59,55,4,-,-,-,-,-,4,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00104468,124,122,115,3,1,-,3,-,-,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-
S00104469,90,82,76,3,1,-,-,2,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-
S00104470,126,122,111,6,2,-,2,1,-,3,1,-,-,2,-,-,-,-,1,1,-,-,-,-,-
S00104471,119,113,95,5,2,-,6,5,-,6,1,-,4,-,1,-,-,-,-,-,-,-,-,-,-
S00104472,100,92,87,2,-,-,-,3,-,-,-,-,-,-,-,7,7,-,1,1,-,-,-,-,-
S00104473,140,138,127,6,1,-,1,3,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104474,131,110,93,9,-,-,5,3,-,14,-,14,-,-,-,6,6,-,1,1,-,-,-,-,-
S00104475,127,120,104,5,1,-,8,2,-,5,5,-,-,-,-,-,-,-,-,-,-,-,2,-,2
S00104476,114,102,88,9,-,-,3,2,1,10,5,-,-,4,1,-,-,-,-,-,-,-,1,1,-
S00104477,101,101,90,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104478,118,113,107,2,-,-,4,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104479,83,83,81,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00104480,90,86,63,10,1,-,7,5,2,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00104481,66,63,56,3,2,-,-,2,-,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00104482,104,98,68,10,4,-,10,6,-,1,-,1,-,-,-,4,4,-,-,-,-,-,1,1,-
S00104483,70,68,53,5,-,-,8,2,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00104484,111,106,83,13,3,-,3,4,-,3,-,3,-,-,-,1,1,-,-,-,-,-,1,-,1
